Field,Type,Descp
ts,TEXT,time start in a format like "YYYY-MM-DD HH:MM:SS"
te,TEXT,time end in a format like "YYYY-MM-DD HH:MM:SS"
td,REAL,duration
sa,TEXT,source IP
da,TEXT,destination IP
sp,INTEGER,source port
dp,INTEGER,destination port
pr,TEXT,protocol
flg,TEXT,TCP flags more info at man nfdump
fwd,INTEGER,forwarding status
stos,INTEGER,src tos
ipkt,INTEGER,input packets associated with an IP flow
ibyt,INTEGER,input bytes associated with an IP flow
opkt,INTEGER,output packets associated with an IP flow
obyt,INTEGER,output bytes associated with an IP flow
in_snmp,INTEGER,input interface SNMP number original name is in
out_snmp,INTEGER,output interface SNMP number original name is out
sas,INTEGER,src AS
das,INTEGER,dst AS
smk,INTEGER,src mask length
dmk,INTEGER,dst mask length
dtos,INTEGER,dst tos
dir,INTEGER,direction: ingress egress
nh,TEXT,nexthp IP address
nhb,TEXT,bgp next hop IP
svln,INTEGER,src vlan id
dvln,INTEGER,dst vlan id
ismc,TEXT,input src MAC
odmc,TEXT,output dst MAC
idmc,TEXT,input dst MAC
osmc,TEXT,output src MAC
mpls1,TEXT,MPLS label 1
mpls2,TEXT,MPLS label 2
mpls3,TEXT,MPLS label 3
mpls4,TEXT,MPLS label 4
mpls5,TEXT,MPLS label 5
mpls6,TEXT,MPLS label 6
mpls7,TEXT,MPLS label 7
mpls8,TEXT,MPLS label 8
mpls9,TEXT,MPLS label 9
mpls10,TEXT,MPLS label 10
cl,REAL,client latency for nprobe
sl,REAL,server latency for nprobe
al,REAL,application latency for nprobe
ra,TEXT,route IP
eng,TEXT,router engine type/id
exid,INTEGER,exporter SysID
tr,TEXT,time the flow was received by the collector in a format like "YYYY-MM-DD HH:MM:SS.SSS"
